currency,main-programming-language,company-type,workmode,min-experience,max-experience,english-level,max-title,income-in-currency
Pesos,Javascript,Extranjera,Remoto,5,5,4,4,87600000.0
Pesos,Typescript,Colombiana con mercado nacional,Remoto,4,4,3,4,52800000.0
Dólares,C#,Extranjera,Remoto,13,13,4,1,95000.0
Dólares,Java,Extranjera,Remoto,8,8,4,4,65000.0
Pesos,Python,Extranjera,Remoto,2,2,3,5,66000000.0
Pesos,Java,Colombiana con mercado nacional,Remoto,10,10,2,4,83000000.0
Pesos,Java,Colombiana con mercado nacional,Remoto,1,1,4,4,26000000.0
Pesos,Python,Extranjera,Híbrido,1,1,1,4,36000000.0
Pesos,Java,Colombiana con mercado nacional,Híbrido,6,6,2,4,120000000.0
Pesos,Java,Colombiana con mercado nacional,Híbrido,5,5,3,4,171000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,7,7,4,4,158748000.0
Pesos,Javascript,Colombiana con mercado nacional,Híbrido,10,10,3,4,36000000.0
Pesos,Java,Extranjera,Remoto,5,5,4,5,222144000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,5,5,3,4,154700000.0
Pesos,Otro lenguaje de programación,Extranjera,Híbrido,5,5,2,4,20000000.0
Pesos,Otro lenguaje de programación,Colombiana con mercado extranjero,Remoto,12,12,4,4,180000000.0
Pesos,C#,Colombiana con mercado nacional,Remoto,8,8,3,1,400000000.0
Dólares,Python,Extranjera,Remoto,8,8,3,4,68400.0
Pesos,Elixir,Colombiana con mercado nacional,Remoto,7,7,4,4,260000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,12,12,4,5,180000000.0
Pesos,Python,Extranjera,Híbrido,6,6,3,4,98000000.0
Pesos,Java,Extranjera,Remoto,10,10,1,4,14115000.0
Dólares,Java,Extranjera,Remoto,6,6,1,4,51600.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,6,6,2,4,120000000.0
Dólares,Kotlin,Soy independiente (Freelance),Remoto,18,18,1,4,72000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,9,9,4,5,270800000.0
Pesos,Javascript,Extranjera,Híbrido,10,10,3,4,202800000.0
Pesos,Rust,Extranjera,Remoto,15,15,4,1,377000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,10,10,3,4,222000000.0
Pesos,Javascript,Extranjera,Remoto,12,12,3,4,180000000.0
Pesos,Dart,Colombiana con mercado nacional,Remoto,9,9,2,4,0.0
Pesos,Ruby,Colombiana con mercado nacional,Remoto,4,4,2,4,69600000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,13,13,0,4,132680000.0
Pesos,Javascript,Extranjera,Remoto,14,14,2,5,182308000.0
Pesos,Kotlin,Extranjera,Remoto,7,7,4,4,202000000.0
Pesos,Python,Extranjera,Remoto,4,4,3,5,21680000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,8,8,4,1,200000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,3,3,4,4,96000000.0
Dólares,Typescript,Extranjera,Remoto,7,7,4,4,100000.0
Pesos,Javascript,Extranjera,Remoto,12,12,3,5,246000000.0
Dólares,Javascript,Soy independiente (Freelance),Híbrido,2,2,3,4,20000.0
Dólares,Otro lenguaje de programación,Extranjera,Remoto,5,5,0,4,22000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,5,5,3,4,180000000.0
Dólares,Typescript,Extranjera,Remoto,3,3,4,1,34500.0
Pesos,Java,Extranjera,Híbrido,4,4,3,4,245000000.0
Dólares,Typescript,Extranjera,Remoto,12,12,4,4,83400.0
Pesos,Python,Colombiana con mercado nacional,Presencial,1,1,1,4,114000000.0
Pesos,Scala,Colombiana con mercado extranjero,Remoto,5,5,4,4,225000000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,4,4,3,1,100000000.0
Pesos,Python,Extranjera,Remoto,4,4,4,1,18500000.0
Pesos,Javascript,Extranjera,Remoto,15,15,4,4,230000000.0
Pesos,Typescript,Colombiana con mercado nacional,Remoto,4,4,4,1,30000000.0
Dólares,Typescript,Extranjera,Remoto,2,2,3,4,20000.0
Pesos,Javascript,Extranjera,Híbrido,20,20,3,5,25000000.0
Pesos,Javascript,Colombiana con mercado nacional,Presencial,5,5,3,4,84000000.0
Dólares,Javascript,Extranjera,Remoto,7,7,2,4,105000.0
Pesos,Kotlin,Extranjera,Híbrido,15,15,3,4,392000000.0
Pesos,Swift/Objective C,Colombiana con mercado extranjero,Remoto,13,13,4,4,240000000.0
Dólares,Javascript,Extranjera,Remoto,5,5,3,4,55000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,7,7,4,4,214101000.0
Dólares,Javascript,Extranjera,Remoto,24,24,4,1,170000.0
Dólares,Ruby,Extranjera,Remoto,5,5,4,4,70000.0
Dólares,Typescript,Extranjera,Remoto,17,17,4,1,82000.0
Dólares,Javascript,Extranjera,Remoto,5,5,4,1,11800.0
Pesos,Java,Extranjera,Remoto,13,13,4,4,404400000.0
Pesos,Python,Extranjera,Remoto,6,6,2,1,204000000.0
Pesos,Otro lenguaje de programación,Colombiana con mercado extranjero,Remoto,2,2,0,4,39600000.0
Dólares,Typescript,Extranjera,Remoto,10,10,3,4,5450.0
Pesos,Java,Extranjera,Remoto,10,10,3,4,18505000.0
Pesos,C#,Colombiana con mercado nacional,Híbrido,7,7,3,4,102000000.0
Pesos,C#,Colombiana con mercado extranjero,Híbrido,20,20,4,4,144000000.0
