respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city
12918665266,08/25/2021 5:41:07 PM,08/25/2021 5:50:01 PM,"Sector público colombiano (ministerios, secretarías, alcaldías, etc)","Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Developer/ Engineer,Mid (intermedio),No,5 - 10 años,"Ninguno, porque soy mánager 😭",Contrato a término fijo,Presencial (ocupa más del 60% de su tiempo en una oficina),48,Pesos,66000000,10000000,0,No,Maestría,Básico (puede leer documentación y código en inglés),Manizales
12918640286,08/25/2021 5:30:07 PM,08/25/2021 5:37:19 PM,Empresa Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Frontend Developer/ Engineer,Junior (Principiante),No,1+ año,JavaScript,Contrato a término fijo,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",45,Pesos,18000000,0,0,No,Tecnólogo,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Medellín
12918636647,08/25/2021 5:28:09 PM,08/25/2021 5:35:50 PM,Empresa Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Backend Developer/ Engineer,Senior (Avanzado),No,5 - 10 años,Go,"Contrato a término indefinido con empresa local, pero trabajo para empresa extranjera","Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",45,Pesos,9000000,0,0,No,Bachiller,Básico (puede leer documentación y código en inglés),Medellín
12918622630,08/25/2021 5:21:14 PM,08/25/2021 5:29:30 PM,Empresa Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Backend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,Python,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",8,Pesos,2500000,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Neiva
12918349145,08/25/2021 3:07:20 PM,08/25/2021 5:18:46 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,DevOps / Ingeniero de Infraestructura,Mid (intermedio),No,3 - 5 años,Python,Contrato a término indefinido,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",40,Pesos,38400000,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Otro
12918567136,08/25/2021 4:56:13 PM,08/25/2021 5:07:35 PM,Empresa extranjera,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Backend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,Python,"Contrato a término indefinido con empresa local, pero trabajo para empresa extranjera","Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",40,Pesos,42000000,0,0,No,Especialista,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Otro
12918551047,08/25/2021 4:47:49 PM,08/25/2021 5:00:53 PM,Empresa extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Frontend Developer/ Engineer,Junior (Principiante),No,1+ año,TypeScript,Contrato a término indefinido,Presencial (ocupa más del 60% de su tiempo en una oficina),45,Pesos,19200000,0,0,No,Tecnólogo,Básico (puede leer documentación y código en inglés),Manizales
12918528413,08/25/2021 4:36:56 PM,08/25/2021 4:46:21 PM,Empresa Colombiana con mercado Colombiano,Otro,Más de 10,Full Stack Developer/ Engineer,Senior (Avanzado),No,3 - 5 años,JavaScript,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,62400000,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Bogotá
12918512041,08/25/2021 4:28:58 PM,08/25/2021 4:40:26 PM,Empresa extranjera,Consultoría y servicios de desarrollo de software a la medida,5 - 10,QA / Tester Engineer,Senior (Avanzado),No,10 - 15 años,"Ninguno, porque soy mánager 😭","Contrato a término indefinido con empresa local, pero trabajo para empresa extranjera","Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,84000000,0,0,No,Especialista,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Bogotá
12918508982,08/25/2021 4:27:33 PM,08/25/2021 4:39:38 PM,Empresa Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Developer/ Engineer,Senior (Avanzado),No,5 - 10 años,JavaScript,Contrato a término indefinido,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",48,Pesos,108000000,9000000,0,No,Bachiller,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Medellín
