respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city,min-experience,max-experience
12865048473,08/03/2021 11:33:42 AM,08/03/2021 11:45:32 AM,Extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",Más de 10,Frontend Developer/ Engineer,Senior (Avanzado),No,3 - 5 años,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,156000000.0,1000000,0,No,4,3,Cali,3,4
12863693946,08/02/2021 11:42:55 PM,08/03/2021 12:05:01 AM,Extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",Más de 10,Otro,Mid (intermedio),No,10 - 15 años,"Mánager","Contrato a término indefinido con empresa local, pero trabajo para empresa Extranjera",Remoto,60,Pesos,150000000.0,30000000,250000000,Sí - rsus,4,3,Bogotá,10,14
12863170895,08/02/2021 6:19:41 PM,08/02/2021 6:32:17 PM,Extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",2 - 5,Software Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,Contratista internacional,Remoto,48,Dólares,122720.0,0,0,No,4,3,Otro,3,4
12863158222,08/02/2021 5:59:40 PM,08/02/2021 6:20:16 PM,Extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",5 - 10,Software Engineer,Senior (Avanzado),No,10 - 15 años,Ruby,Contratista internacional,Remoto,50,Dólares,130000.0,0,10000,Sí - stock options,4,3,Medellín,10,14
12863110592,08/02/2021 5:56:08 PM,08/02/2021 6:03:23 PM,Colombiana con mercado global,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Otro,Senior (Avanzado),No,10 - 15 años,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,192000000.0,0,0,Sí - stock options,4,3,Cali,10,14
12863046789,08/02/2021 5:30:09 PM,08/02/2021 5:38:34 PM,Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Otro,Senior (Avanzado),No,10 - 15 años,"Mánager",Contrato a término indefinido,Remoto,40,Pesos,186000000.0,0,0,No,5,3,Medellín,10,14
12862804144,08/02/2021 3:43:07 PM,08/02/2021 3:51:21 PM,Extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,QA / Tester Engineer,Mid (intermedio),No,5 - 10 años,Ruby,Contratista internacional,Remoto,40,Dólares,38400.0,0,0,No,4,3,Barranquilla,5,9
12862227054,08/02/2021 11:25:46 AM,08/02/2021 3:18:02 PM,Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Full Stack Developer/ Engineer,Junior (Principiante),No,1+ año,JavaScript,Contrato a término fijo,Flexible,40,Pesos,40000000.0,4000000,0,No,3,1,Medellín,1,1
12862038302,08/02/2021 10:13:10 AM,08/02/2021 10:23:55 AM,Colombiana con mercado latinoamericano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Otro,Mid (intermedio),No,2+ años,Java,Contrato a término indefinido,Remoto,48,Pesos,42000000.0,0,0,No,4,2,Sincelejo,2,2
12862037543,08/02/2021 8:32:15 AM,08/02/2021 10:21:16 AM,Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Full Stack Developer/ Engineer,Mid (intermedio),No,Menos de 1 año,Ruby,Contrato a término indefinido,Remoto,48,Pesos,36000000.0,0,0,No,4,2,Medellín,0,0
12860257052,08/01/2021 1:42:58 PM,08/01/2021 1:58:47 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,2 - 5,Full Stack Developer/ Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,Contratista internacional,Remoto,35,Dólares,51600.0,0,0,No,4,2,Otro,3,4
12859988931,08/01/2021 9:14:55 AM,08/01/2021 9:22:06 AM,Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,Junior (Principiante),No,1+ año,JavaScript,"Contrato a término indefinido con empresa local, pero trabajo para empresa Extranjera",Remoto,48,Pesos,36000000.0,2000000,0,No,4,2,Medellín,1,1
12859144401,07/31/2021 3:59:12 PM,07/31/2021 4:25:32 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,Mid (intermedio),No,3 - 5 años,PHP,Contratista internacional,Remoto,40,Dólares,23000.0,0,0,No,1,3,Cúcuta,3,4
12858936159,07/31/2021 12:06:20 PM,07/31/2021 12:24:45 PM,Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Engineer,Mid (intermedio),No,3 - 5 años,C#,Contrato a término indefinido,Remoto,45,Pesos,3150000.0,1850000,0,No,4,1,Soledad,3,4
12857873283,07/30/2021 7:21:38 PM,07/30/2021 7:51:34 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Frontend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,64032000.0,5336000,915000,Sí - stock options,3,2,Bogotá,3,4
12857749036,07/30/2021 5:57:01 PM,07/30/2021 6:09:55 PM,Colombiana con mercado global,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",2 - 5,Software Architect / Arquitecto de software,Mid (intermedio),No,5 - 10 años,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,75600000.0,32400000,0,No,4,3,Bogotá,5,9
